         896531 function calls (893820 primitive calls) in 628.787 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      450    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
       18    0.001    0.000    0.002    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\subprocess.py:582(list2cmdline)
       50    0.001    0.000    0.003    0.000 C:\Users\brike\Desktop\Algoritma\src\array_avl_tree.py:95(delete)
      419    0.001    0.000    0.005    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\quoting.py:115(a_list)
       18    0.001    0.000    0.278    0.015 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\subprocess.py:1446(_execute_child)
      533    0.001    0.000    0.001    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       18    0.001    0.000    0.286    0.016 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\subprocess.py:814(__init__)
      632    0.001    0.000    0.001    0.000 {built-in method nt._path_splitroot_ex}
      419    0.001    0.000    0.007    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\quoting.py:135(attr_list)
      935    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       36    0.001    0.000    0.002    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:869(__init__)
      600    0.001    0.000    0.001    0.000 {built-in method time.perf_counter}
    209/9    0.001    0.000    0.013    0.001 C:\Users\brike\Desktop\Algoritma\src\visualize_tree.py:13(add_edges)
       37    0.001    0.000    0.002    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\pathlib\_local.py:257(_parse_path)
   108/97    0.001    0.000    3.026    0.031 {method 'close' of '_io.BufferedReader' objects}
       18    0.001    0.000    4.304    0.239 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\backend\rendering.py:199(render)
      127    0.001    0.000    0.003    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\pathlib\_local.py:307(_tail)
       18    0.001    0.000    0.004    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\subprocess.py:1345(_get_handles)
      600    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
       18    0.001    0.000    4.291    0.238 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\subprocess.py:512(run)
       18    0.001    0.000    4.294    0.239 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\backend\execute.py:50(run_check)
       54    0.001    0.000    0.001    0.000 <frozen ntpath>:222(split)
    36/18    0.001    0.000    3.951    0.220 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:981(run)
      284    0.001    0.000    0.001    0.000 C:\Users\brike\Desktop\Algoritma\src\reference_avl_tree.py:96(get_balance)
       18    0.001    0.000    4.345    0.241 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\rendering.py:21(render)
       90    0.001    0.000    0.001    0.000 C:\Users\brike\Desktop\Algoritma\src\array_avl_tree.py:20(update_height)
       18    0.001    0.000    4.420    0.246 C:\Users\brike\Desktop\Algoritma\src\visualize_tree.py:5(visualize_tree)
      437    0.001    0.000    0.001    0.000 {built-in method builtins.max}
        1    0.001    0.001  628.787  628.787 C:\Users\brike\Desktop\Algoritma\src\benchmark.py:72(run_benchmarks_with_profiling)
       90    0.001    0.000    0.001    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\pathlib\_local.py:117(__init__)
       18    0.001    0.000    0.003    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\subprocess.py:1292(_close_pipe_fds)
     1278    0.001    0.000    0.001    0.000 C:\Users\brike\Desktop\Algoritma\src\reference_avl_tree.py:91(get_height)
       50    0.001    0.000    0.001    0.000 C:\Users\brike\Desktop\Algoritma\src\array_avl_tree.py:83(search)
       36    0.001    0.000    0.005    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:953(start)
       90    0.001    0.000    0.002    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\pathlib\_local.py:498(__init__)
       36    0.001    0.000    0.016    0.000 <frozen os>:202(makedirs)
        6    0.001    0.000  628.765  104.794 C:\Users\brike\Desktop\Algoritma\src\benchmark.py:54(benchmark_operations_with_profiling)
      540    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
      491    0.001    0.000    0.001    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\dot.py:158(__iter__)
    36/18    0.000    0.000    3.820    0.212 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\subprocess.py:1608(_readerthread)
      496    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       18    0.000    0.000    3.964    0.220 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\subprocess.py:1613(_communicate)
      217    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      320    0.000    0.000    0.001    0.000 C:\Users\brike\Desktop\Algoritma\src\array_avl_tree.py:8(height)
       54    0.000    0.000    0.000    0.000 {built-in method _winapi.DuplicateHandle}
      198    0.000    0.000    0.002    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\subprocess.py:224(Close)
       82    0.000    0.000    0.002    0.000 C:\Users\brike\Desktop\Algoritma\src\array_avl_tree.py:45(rebalance)
       54    0.000    0.000    0.001    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\contextlib.py:534(callback)
   187/50    0.000    0.000    0.000    0.000 C:\Users\brike\Desktop\Algoritma\src\reference_avl_tree.py:84(search)
       36    0.000    0.000    0.002    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:620(set)
       18    0.000    0.000    0.001    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\contextlib.py:571(__exit__)
       18    0.000    0.000    0.004    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\backend\rendering.py:131(get_outfile)
       36    0.000    0.000    4.088    0.114 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:1056(join)
       36    0.000    0.000    0.002    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:327(wait)
       84    0.000    0.000    0.001    0.000 C:\Users\brike\Desktop\Algoritma\src\array_avl_tree.py:13(balance_factor)
       36    0.000    0.000    0.002    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:641(wait)
       54    0.000    0.000    0.001    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\pathlib\_abc.py:130(with_segments)
       18    0.000    0.000    0.003    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\graphs.py:52(__init__)
       54    0.000    0.000    0.001    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\subprocess.py:1424(_make_inheritable)
      404    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       72    0.000    0.000    0.001    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\_tools.py:85(promote_pathlike)
       72    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
    36/18    0.000    0.000    3.958    0.220 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:998(_bootstrap)
       72    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       18    0.000    0.000    0.002    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\saving.py:26(__init__)
       18    0.000    0.000    0.001    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\backend\dot_command.py:15(command)
       36    0.000    0.000    0.001    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:398(notify)
       18    0.000    0.000    0.002    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\dot.py:108(__init__)
       18    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\subprocess.py:208(copy)
       54    0.000    0.000    0.002    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\pathlib\_local.py:245(_from_parsed_parts)
       36    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:281(__init__)
        3    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       36    0.000    0.000    0.002    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\pathlib\_local.py:329(parent)
       18    0.000    0.000    0.000    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\parameters\formatters.py:36(__init__)
       90    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\pathlib\_local.py:505(__new__)
       72    0.000    0.000    0.000    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\parameters\formats.py:51(verify_format)
      108    0.000    0.000    0.001    0.000 <frozen os>:855(fsdecode)
       18    0.000    0.000    0.001    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\pathlib\_local.py:354(with_name)
       18    0.000    0.000    0.001    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\backend\mixins.py:19(_get_render_parameters)
       36    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:843(_newname)
       72    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:306(__exit__)
       32    0.000    0.000    0.000    0.000 C:\Users\brike\Desktop\Algoritma\src\array_avl_tree.py:101(remove)
       72    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:1427(current_thread)
       36    0.000    0.000    0.001    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:592(__init__)
      217    0.000    0.000    0.000    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\dot.py:64(node)
      202    0.000    0.000    0.000    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\dot.py:33(digraph_edge)
       18    0.000    0.000    0.002    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\encoding.py:20(__init__)
       18    0.000    0.000    0.000    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\_compat.py:28(get_startupinfo)
       36    0.000    0.000    0.000    0.000 {built-in method msvcrt.open_osfhandle}
       18    0.000    0.000    4.005    0.222 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\subprocess.py:1175(communicate)
